url,relative_path,local_html_path,topic,subtopic,title,size_kb,status,timestamp
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/communication/contact_manager/new_event_comm.htm,communication/contact_manager/new_event_comm.htm,html/communication/contact_manager/new_event_comm.htm,communication,communication/contact_manager,Contact Notification Manager,21,200,2026-02-12T17:06:27.018469
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/communication/contact_manager/contact_group.htm,communication/contact_manager/contact_group.htm,html/communication/contact_manager/contact_group.htm,communication,communication/contact_manager,Contact Group,11,200,2026-02-12T17:06:27.215156
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/communication/message_center/actions/message_center_actions.htm,communication/message_center/actions/message_center_actions.htm,html/communication/message_center/actions/message_center_actions.htm,communication,communication/message_center,Message Center Actions and SmartLinks,9,200,2026-02-12T17:06:27.492568
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/properties/glog/webserver.property.htm,properties/glog/webserver.property.htm,html/properties/glog/webserver.property.htm,properties,properties/glog,glog.webserver Properties,81,200,2026-02-12T17:06:27.875080
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/planning/logic_configuration_digital_assistant_configuration.htm,planning/power_data/planning/logic_configuration_digital_assistant_configuration.htm,html/planning/power_data/planning/logic_configuration_digital_assistant_configuration.htm,planning,planning/power_data,Logic Configuration - Digital Assistant Configuration,10,200,2026-02-12T17:06:28.113560
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/explanations/explanation_overview.htm,explanations/explanation_overview.htm,html/explanations/explanation_overview.htm,explanations,explanations,Explanation Overview,19,200,2026-02-12T17:06:28.274089
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/recurring_processes.htm,planning/process_manager/process_manager/recurring_processes.htm,html/planning/process_manager/process_manager/recurring_processes.htm,planning,planning/process_manager,Recurring Processes,12,200,2026-02-12T17:06:28.421360
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/properties/glog/oci.properties.htm,properties/glog/oci.properties.htm,html/properties/glog/oci.properties.htm,properties,properties/glog,glog.oci Properties,9,200,2026-02-12T17:06:28.580638
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/settings_and_actions_user_access.htm,user_access/settings_and_actions_user_access.htm,html/user_access/settings_and_actions_user_access.htm,user_access,user_access,Settings and Actions User Access,9,200,2026-02-12T17:06:28.759015
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/properties/glog/otm.property.htm,properties/glog/otm.property.htm,html/properties/glog/otm.property.htm,properties,properties/glog,glog.otm Properties,12,200,2026-02-12T17:06:28.925478
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/bulk_plan_manager/diagnostics/about_graphical_diagnostics.htm,bulk_plan_manager/diagnostics/about_graphical_diagnostics.htm,html/bulk_plan_manager/diagnostics/about_graphical_diagnostics.htm,bulk_plan_manager,bulk_plan_manager/diagnostics,Graphical Diagnostics,20,200,2026-02-12T17:06:29.068265
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_management/account_policy.htm,user_management/account_policy.htm,html/user_management/account_policy.htm,user_management,user_management,Account Policy,16,200,2026-02-12T17:06:29.238353
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/integration.htm,planning/process_manager/process_manager/logs/integration.htm,html/planning/process_manager/process_manager/logs/integration.htm,planning,planning/process_manager,Integration Log,10,200,2026-02-12T17:06:29.395271
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/planning/diagnostic_log_file.htm,planning/power_data/planning/diagnostic_log_file.htm,html/planning/power_data/planning/diagnostic_log_file.htm,planning,planning/power_data,Diagnostic Log File,9,200,2026-02-12T17:06:29.559353
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_access/view_user_access.htm,user_access/view_user_access.htm,html/user_access/view_user_access.htm,user_access,user_access,View User Access,9,200,2026-02-12T17:06:29.771255
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_preferences/setting_user_preferences.htm,user_preferences/setting_user_preferences.htm,html/user_preferences/setting_user_preferences.htm,user_preferences,user_preferences,User Preferences,41,200,2026-02-12T17:06:30.002423
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/explanations/configure_explanations.htm,explanations/configure_explanations.htm,html/explanations/configure_explanations.htm,explanations,explanations,Configuring Explanations,10,200,2026-02-12T17:06:30.263065
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_preferences/change_password.htm,user_preferences/change_password.htm,html/user_preferences/change_password.htm,user_preferences,user_preferences,Change Password,9,200,2026-02-12T17:06:30.556376
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/power_data/planning/diag_process_config.htm,planning/power_data/planning/diag_process_config.htm,html/planning/power_data/planning/diag_process_config.htm,planning,planning/power_data,Diagnostic Process Configuration,9,200,2026-02-12T17:06:30.774823
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_management/user_role.htm,user_management/user_role.htm,html/user_management/user_role.htm,user_management,user_management,User Role,12,200,2026-02-12T17:06:30.948573
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/planning/process_manager/process_manager/logs/system.htm,planning/process_manager/process_manager/logs/system.htm,html/planning/process_manager/process_manager/logs/system.htm,planning,planning/process_manager,System Log,14,200,2026-02-12T17:06:31.144050
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmol/user_preferences/new_favorite.htm,user_preferences/new_favorite.htm,html/user_preferences/new_favorite.htm,user_preferences,user_preferences,Configuring User Favorites,11,200,2026-02-12T17:06:31.341436
