url,relative_path,local_html_path,topic,subtopic,title,size_kb,status,timestamp
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/migration-projects.html,transportation/25c/otmca/migration-projects.html,html/transportation/25c/otmca_administration_guide/migration-projects.html,transportation,transportation/25c,Migration Projects,6,200,2026-02-13T13:08:51.843872
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/Chunk1711724513.html,transportation/25c/otmca/Chunk1711724513.html,html/transportation/25c/otmca_administration_guide/Chunk1711724513.html,transportation,transportation/25c,Global Trade Management,8,200,2026-02-13T13:08:52.302629
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/email-configuration-overview.html,transportation/25c/otmca/email-configuration-overview.html,html/transportation/25c/otmca_administration_guide/email-configuration-overview.html,transportation,transportation/25c,Email Configuration Overview,9,200,2026-02-13T13:08:52.756679
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/schedule-at-which-oldest-partition-is-purged-in-preparation-for.html,transportation/25c/otmca/schedule-at-which-oldest-partition-is-purged-in-preparation-for.html,html/transportation/25c/otmca_administration_guide/schedule-at-which-oldest-partition-is-purged-in-preparation-for.html,transportation,transportation/25c,Business Data Purge and Archive,41,200,2026-02-13T13:08:53.204071
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/Chunk355510973.html,transportation/25c/otmca/Chunk355510973.html,html/transportation/25c/otmca_administration_guide/Chunk355510973.html,transportation,transportation/25c,Business to Business Connectivity,9,200,2026-02-13T13:08:53.742755
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-the-email-from-address-1.html,transportation/25c/otmca/configuring-the-email-from-address-1.html,html/transportation/25c/otmca_administration_guide/configuring-the-email-from-address-1.html,transportation,transportation/25c,Configuring the Email From Address,9,200,2026-02-13T13:08:54.168777
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/loading-legacy-data.html,transportation/25c/otmca/loading-legacy-data.html,html/transportation/25c/otmca_administration_guide/loading-legacy-data.html,transportation,transportation/25c,Loading Legacy Data,7,200,2026-02-13T13:08:54.625865
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/maps.html,transportation/25c/otmca/maps.html,html/transportation/25c/otmca_administration_guide/maps.html,transportation,transportation/25c,Maps,11,200,2026-02-13T13:08:55.179935
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/using-a-common-approved-sender-email-address.html,transportation/25c/otmca/using-a-common-approved-sender-email-address.html,html/transportation/25c/otmca_administration_guide/using-a-common-approved-sender-email-address.html,transportation,transportation/25c,Using a Common Approved Sender Email Address,18,200,2026-02-13T13:08:55.378827
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/virus-scan.html,transportation/25c/otmca/virus-scan.html,html/transportation/25c/otmca_administration_guide/virus-scan.html,transportation,transportation/25c,Virus Scan,5,200,2026-02-13T13:08:55.818349
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/Chunk1909926867.html,transportation/25c/otmca/Chunk1909926867.html,html/transportation/25c/otmca_administration_guide/Chunk1909926867.html,transportation,transportation/25c,External Rating,7,200,2026-02-13T13:08:56.343058
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-a-custom-domain.html,transportation/25c/otmca/configuring-a-custom-domain.html,html/transportation/25c/otmca_administration_guide/configuring-a-custom-domain.html,transportation,transportation/25c,Configuring a Custom Domain,7,200,2026-02-13T13:08:56.768068
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/table-name.html,transportation/25c/otmca/table-name.html,html/transportation/25c/otmca_administration_guide/table-name.html,transportation,transportation/25c,Database Replication Enablement for Oracle Transportation and Global Trade Management,14,200,2026-02-13T13:08:57.208762
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/geo-coding-and-external-distance-time.html,transportation/25c/otmca/geo-coding-and-external-distance-time.html,html/transportation/25c/otmca_administration_guide/geo-coding-and-external-distance-time.html,transportation,transportation/25c,Geo-coding and External Distance/Time,13,200,2026-02-13T13:08:57.443050
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/terminology.html,transportation/25c/otmca/terminology.html,html/transportation/25c/otmca_administration_guide/terminology.html,transportation,transportation/25c,Terminology,10,200,2026-02-13T13:08:57.871629
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/non-propagated-data.html,transportation/25c/otmca/non-propagated-data.html,html/transportation/25c/otmca_administration_guide/non-propagated-data.html,transportation,transportation/25c,Production to Test Cloning (P2T),16,200,2026-02-13T13:08:58.399801
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/pre-built-integrations.html,transportation/25c/otmca/pre-built-integrations.html,html/transportation/25c/otmca_administration_guide/pre-built-integrations.html,transportation,transportation/25c,Pre-Built Integrations,6,200,2026-02-13T13:08:58.923287
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-approved-senders.html,transportation/25c/otmca/configuring-approved-senders.html,html/transportation/25c/otmca_administration_guide/configuring-approved-senders.html,transportation,transportation/25c,Configuring Approved Senders,6,200,2026-02-13T13:08:59.333388
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/managing-delivery-failure.html,transportation/25c/otmca/managing-delivery-failure.html,html/transportation/25c/otmca_administration_guide/managing-delivery-failure.html,transportation,transportation/25c,Managing Suppressions,13,200,2026-02-13T13:08:59.821435
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/csv-db-xml.html,transportation/25c/otmca/csv-db-xml.html,html/transportation/25c/otmca_administration_guide/csv-db-xml.html,transportation,transportation/25c,CSV/DB.XML,7,200,2026-02-13T13:09:00.356270
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/oracle-transportation-mobile.html,transportation/25c/otmca/oracle-transportation-mobile.html,html/transportation/25c/otmca_administration_guide/oracle-transportation-mobile.html,transportation,transportation/25c,Oracle Transportation Mobile,6,200,2026-02-13T13:09:00.894075
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/using-reply-to-as-an-alternative-to-wildcard-approved-senders.html,transportation/25c/otmca/using-reply-to-as-an-alternative-to-wildcard-approved-senders.html,html/transportation/25c/otmca_administration_guide/using-reply-to-as-an-alternative-to-wildcard-approved-senders.html,transportation,transportation/25c,Using Reply To as an Alternative to Wildcard Approved Senders,12,200,2026-02-13T13:09:01.455091
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-a-custom-return-path.html,transportation/25c/otmca/configuring-a-custom-return-path.html,html/transportation/25c/otmca_administration_guide/configuring-a-custom-return-path.html,transportation,transportation/25c,Configuring a Custom Return Path,7,200,2026-02-13T13:09:01.915012
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-an-external-smtp-host.html,transportation/25c/otmca/configuring-an-external-smtp-host.html,html/transportation/25c/otmca_administration_guide/configuring-an-external-smtp-host.html,transportation,transportation/25c,Configuring an External SMTP Host,10,200,2026-02-13T13:09:02.339422
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/best-practices-introduction.html,transportation/25c/otmca/best-practices-introduction.html,html/transportation/25c/otmca_administration_guide/best-practices-introduction.html,transportation,transportation/25c,Best Practices Introduction,9,200,2026-02-13T13:09:03.074848
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/known-limitations-for-oracle-analytics-cloud.html,transportation/25c/otmca/known-limitations-for-oracle-analytics-cloud.html,html/transportation/25c/otmca_administration_guide/known-limitations-for-oracle-analytics-cloud.html,transportation,transportation/25c,Known Limitations for Oracle Analytics,12,200,2026-02-13T13:09:03.297673
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-spf.html,transportation/25c/otmca/configuring-spf.html,html/transportation/25c/otmca_administration_guide/configuring-spf.html,transportation,transportation/25c,Configuring SPF,17,200,2026-02-13T13:09:03.837535
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-dmarc.html,transportation/25c/otmca/configuring-dmarc.html,html/transportation/25c/otmca_administration_guide/configuring-dmarc.html,transportation,transportation/25c,Configuring DMARC,7,200,2026-02-13T13:09:04.258143
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/managing-mail-quota.html,transportation/25c/otmca/managing-mail-quota.html,html/transportation/25c/otmca_administration_guide/managing-mail-quota.html,transportation,transportation/25c,Managing Mail Quota,8,200,2026-02-13T13:09:04.764602
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/security-and-user-provisioning-best-practices.html,transportation/25c/otmca/security-and-user-provisioning-best-practices.html,html/transportation/25c/otmca_administration_guide/security-and-user-provisioning-best-practices.html,transportation,transportation/25c,Security and User Provisioning Best Practices,7,200,2026-02-13T13:09:05.187657
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuration-1.html,transportation/25c/otmca/configuration-1.html,html/transportation/25c/otmca_administration_guide/configuration-1.html,transportation,transportation/25c,Configuration,15,200,2026-02-13T13:09:05.724854
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/oracle-analytics-cloud-action-links.html,transportation/25c/otmca/oracle-analytics-cloud-action-links.html,html/transportation/25c/otmca_administration_guide/oracle-analytics-cloud-action-links.html,transportation,transportation/25c,Oracle Analytics Cloud Action Links,6,200,2026-02-13T13:09:06.273890
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/configuring-dkim.html,transportation/25c/otmca/configuring-dkim.html,html/transportation/25c/otmca_administration_guide/configuring-dkim.html,transportation,transportation/25c,Configuring DKIM,6,200,2026-02-13T13:09:06.640536
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/email-size-limitations.html,transportation/25c/otmca/email-size-limitations.html,html/transportation/25c/otmca_administration_guide/email-size-limitations.html,transportation,transportation/25c,Email Size Limitations,6,200,2026-02-13T13:09:07.173281
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/implementation-design-best-practices.html,transportation/25c/otmca/implementation-design-best-practices.html,html/transportation/25c/otmca_administration_guide/implementation-design-best-practices.html,transportation,transportation/25c,Implementation Design Best Practices,7,200,2026-02-13T13:09:07.596746
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/Chunk267450807.html,transportation/25c/otmca/Chunk267450807.html,html/transportation/25c/otmca_administration_guide/Chunk267450807.html,transportation,transportation/25c,Configuring Global Trade Intelligence,8,200,2026-02-13T13:09:08.019619
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/create-oracle-identity-cloud-service-user-and-update-default-report-system.html,transportation/25c/otmca/create-oracle-identity-cloud-service-user-and-update-default-report-system.html,html/transportation/25c/otmca_administration_guide/create-oracle-identity-cloud-service-user-and-update-default-report-system.html,transportation,transportation/25c,Enable Report Generation from within Oracle Transportation Management,9,200,2026-02-13T13:09:08.126396
https://docs.oracle.com/en/cloud/saas/transportation/25c/otmca/oac-action-links-on-column-value.html,transportation/25c/otmca/oac-action-links-on-column-value.html,html/transportation/25c/otmca_administration_guide/oac-action-links-on-column-value.html,transportation,transportation/25c,OAC Action Links on Column Value,12,200,2026-02-13T13:09:08.571824
